date,jp_m2_jpy_tn
2001-12-31,1015.0772
2002-01-31,1008.96598866667
2002-02-28,1009.7092343333301
2002-03-31,1013.4201
2002-04-30,1016.72941666667
2002-05-31,1015.68073933333
2002-06-30,1018.6543
2002-07-31,1015.79834966667
2002-08-31,1014.33813333333
2002-09-30,1011.8074
2002-10-31,1013.529698
2002-11-30,1015.235653
2002-12-31,1024.4509
2003-01-31,1015.5582913333301
2003-02-28,1013.60054666667
2003-03-31,1011.9616
2003-04-30,1015.6497443333301
2003-05-31,1019.51819266667
2003-06-30,1025.184
2003-07-31,1023.010585
2003-08-31,1021.031152
2003-09-30,1018.7377
2003-10-31,1020.874461
2003-11-30,1022.411234
2003-12-31,1029.9881
2004-01-31,1025.717273
2004-02-29,1026.546606
2004-03-31,1027.2763
2004-04-30,1030.83823066667
2004-05-31,1032.40879233333
2004-06-30,1035.4869
2004-07-31,1033.37307566667
2004-08-31,1032.10731933333
2004-09-30,1028.4738
2004-10-31,1029.278769
2004-11-30,1030.508293
2004-12-31,1036.3934
2005-01-31,1032.230089
2005-02-28,1032.475957
2005-03-31,1031.6326
2005-04-30,1035.5995
2005-05-31,1034.2276
2005-06-30,1035.7788
2005-07-31,1033.1123
2005-08-31,1031.2892
2005-09-30,1028.9303
2005-10-31,1030.1883
2005-11-30,1031.6022
2005-12-31,1038.6508
2006-01-31,1032.5984
2006-02-28,1031.3963
2006-03-31,1032.0264
2006-04-30,1032.148
2006-05-31,1029.2623
2006-06-30,1030.5964
2006-07-31,1027.9221
2006-08-31,1025.3822
2006-09-30,1022.8822
2006-10-31,1023.0365
2006-11-30,1024.2308
2006-12-31,1031.2414
2007-01-31,1027.1439
2007-02-28,1028.1603
2007-03-31,1029.3193
2007-04-30,1032.9443
2007-05-31,1033.1931
2007-06-30,1036.7481
2007-07-31,1032.2275
2007-08-31,1027.7453
2007-09-30,1025.5168
2007-10-31,1026.4164
2007-11-30,1029.5805
2007-12-31,1038.2009
2008-01-31,1032.9747
2008-02-29,1032.8883
2008-03-31,1032.7371
2008-04-30,1037.0863
2008-05-31,1039.2796
2008-06-30,1043.755
2008-07-31,1039.5206
2008-08-31,1035.5634
2008-09-30,1032.2163
2008-10-31,1035.8065
2008-11-30,1038.691
2008-12-31,1047.1019
2009-01-31,1045.2262
2009-02-28,1048.9264
2009-03-31,1051.7051
2009-04-30,1055.8422
2009-05-31,1057.646
2009-06-30,1062.8222
2009-07-31,1060.017
2009-08-31,1056.9337
2009-09-30,1054.464
2009-10-31,1057.4035
2009-11-30,1060.3259
2009-12-31,1069.119
2010-01-31,1066.4852
2010-02-28,1069.2527
2010-03-31,1072.0075
2010-04-30,1075.3517
2010-05-31,1077.3758
2010-06-30,1081.3553
2010-07-31,1079.5124
2010-08-31,1077.4733
2010-09-30,1074.9355
2010-10-31,1078.1379
2010-11-30,1080.765
2010-12-31,1088.405
2011-01-31,1088.3053
2011-02-28,1093.1629
2011-03-31,1103.1898
2011-04-30,1105.9366
2011-05-31,1107.8901
2011-06-30,1111.3945
2011-07-31,1109.84
2011-08-31,1107.8211
2011-09-30,1105.5166
2011-10-31,1108.6815
2011-11-30,1112.8171
2011-12-31,1120.1675
2012-01-31,1119.8887
2012-02-29,1124.7264
2012-03-31,1129.728
2012-04-30,1133.1508
2012-05-31,1130.9543
2012-06-30,1132.9704
2012-07-31,1131.8017
2012-08-31,1132.2243
2012-09-30,1131.0183
2012-10-31,1134.4319
2012-11-30,1137.23
2012-12-31,1144.594
2013-01-31,1146.5147
2013-02-28,1153.0708
2013-03-31,1158.828
2013-04-30,1164.6292
2013-05-31,1166.7634
2013-06-30,1170.4188
2013-07-31,1171.0783
2013-08-31,1171.1129
2013-09-30,1169.2165
2013-10-31,1173.7649
2013-11-30,1175.9765
2013-12-31,1185.2643
2014-01-31,1183.4283
2014-02-28,1186.1748
2014-03-31,1188.412
2014-04-30,1195.2708
2014-05-31,1196.9326
2014-06-30,1197.5662
2014-07-31,1198.0808
2014-08-31,1198.7506
2014-09-30,1198.8796
2014-10-31,1205.2564
2014-11-30,1210.5578
2014-12-31,1219.1856
2015-01-31,1219.0078
2015-02-28,1222.593
2015-03-31,1226.8433
2015-04-30,1236.603
2015-05-31,1238.4106
2015-06-30,1241.8297
2015-07-31,1241.6653
2015-08-31,1239.1646
2015-09-30,1237.9331
2015-10-31,1243.8887
2015-11-30,1246.372
2015-12-31,1255.7228
2016-01-31,1254.9956
2016-02-29,1259.6591
2016-03-31,1264.2244
2016-04-30,1275.3591
2016-05-31,1277.1644
2016-06-30,1280.7049
2016-07-31,1281.0013
2016-08-31,1278.9128
2016-09-30,1279.4868
2016-10-31,1286.4331
2016-11-30,1294.5405
2016-12-31,1304.0821
2017-01-31,1304.1203
2017-02-28,1308.1523
2017-03-31,1312.1602
2017-04-30,1321.1454
2017-05-31,1323.2224
2017-06-30,1331.2903
2017-07-31,1329.0726
2017-08-31,1329.8841
2017-09-30,1331.598
2017-10-31,1338.775
2017-11-30,1341.7683
2017-12-31,1349.5446
2018-01-31,1346.9531
2018-02-28,1350.9981
2018-03-31,1354.5908
