date,mvrv_z,mvrv,CapMrktCurUSD,cap_realizado
2011-01-01,,3.49431915,1508925.0,431822.31937801105
2011-01-02,,3.46374621,1511398.845,436348.03284274106
2011-01-03,,3.38619201,1488658.5,439626.1333095521
2011-01-04,,3.41744847,1510698.9825,442054.6485957694
2011-01-05,,3.39994438,1512830.351059409,444957.3822320614
2011-01-06,,3.37409013,1510293.8,447615.13232013164
2011-01-07,,3.59662517,1624416.0,451650.06727681885
2011-01-08,,3.60311438,1641881.92,455684.0962678515
2011-01-09,,3.58303029,1645022.85,459114.97164596955
2011-01-10,,3.56790627,1665951.9195,466927.0416400261
2011-01-11,,3.47434474,1668760.5935,480309.44491133024
2011-01-12,,3.37613389,1631616.4616808898,483279.5483951881
2011-01-13,,3.31520101,1628462.24,491210.70942241297
2011-01-14,,4.10741466,2054528.6655201616,500199.96411079704
2011-01-15,,3.93479597,1985699.8,504651.27420571184
2011-01-16,,3.89072744,1993128.87,512276.6631013351
2011-01-17,,3.48443916,1804136.475,517769.5440089131
2011-01-18,,3.11008305,1617876.609,520203.6675515787
2011-01-19,,3.07260733,1620521.3745,527409.2002182394
2011-01-20,,3.78751517,2022871.5,534089.3459708572
2011-01-21,,4.03324208,2181663.4005,540920.5193306919
2011-01-22,,4.1752733,2289856.885448276,548432.814074297
2011-01-23,,4.11467439,2305921.52,560414.0939084125
2011-01-24,,3.8538566,2192591.83,568934.4616507008
2011-01-25,,3.73958941,2144095.0,573350.3775217932
2011-01-26,,3.28267628,2174423.4521884862,662393.5066142088
2011-01-27,,3.29852211,2209825.8,669944.2132889022
2011-01-28,,3.44964227,2335496.9629924037,677025.8421585272
2011-01-29,,3.35970677,2310215.55,687624.1613192927
2011-01-30,,3.62408311,2514657.804152542,693874.2097866905
2011-01-31,,3.88967746,2772066.2538391287,712672.5242249594
2011-02-01,,5.02344554,3740570.612495323,744622.5071438365
2011-02-02,,4.95514811,3841068.5658988873,775167.2564836589
2011-02-03,,4.68663449,3679638.958740473,785134.6134612842
2011-02-04,,5.36029838,4308260.083308008,803735.124033899
2011-02-05,,5.79068626,4851459.767508475,837803.9406176488
2011-02-06,,5.59155797,4786654.3,856050.1966860588
2011-02-07,,5.25293615,4749954.826266509,904247.5847086983
2011-02-08,,5.35492291,4910290.2,916967.4862789015
2011-02-09,,5.69602563,5444505.240353621,955842.8269139689
2011-02-10,,5.38116292,5258581.175754528,977220.2131643557
2011-02-11,,5.62034798,5667836.858608103,1008449.4552253869
