date,uk_m4_gbp_mi
1999-01-31,777257
1999-02-28,785741
1999-03-31,793023
1999-04-30,798943
1999-05-31,803972
1999-06-30,800943
1999-07-31,796996
1999-08-31,797266
1999-09-30,793825
1999-10-31,799557
1999-11-30,805837
1999-12-31,816599
2000-01-31,802218
2000-02-29,810154
2000-03-31,836297
2000-04-30,840891
2000-05-31,847578
2000-06-30,856281
2000-07-31,852283
2000-08-31,867233
2000-09-30,866433
2000-10-31,874644
2000-11-30,875080
2000-12-31,884873
2001-01-31,881010
2001-02-28,885596
2001-03-31,905747
2001-04-30,905664
2001-05-31,909348
2001-06-30,921501
2001-07-31,918779
2001-08-31,930304
2001-09-30,937102
2001-10-31,942397
2001-11-30,945976
2001-12-31,942597
2002-01-31,931131
2002-02-28,941610
2002-03-31,955213
2002-04-30,955207
2002-05-31,959186
2002-06-30,975723
2002-07-31,970882
2002-08-31,982339
2002-09-30,989429
2002-10-31,994788
2002-11-30,1002748
2002-12-31,1008743
2003-01-31,994313
2003-02-28,1004811
2003-03-31,1020634
2003-04-30,1029286
2003-05-31,1033352
2003-06-30,1048107
2003-07-31,1036717
2003-08-31,1040285
2003-09-30,1051162
2003-10-31,1055020
2003-11-30,1070558
2003-12-31,1081297
2004-01-31,1080314
2004-02-29,1087908
2004-03-31,1101924
2004-04-30,1109180
2004-05-31,1121195
2004-06-30,1133430
2004-07-31,1133336
2004-08-31,1143250
2004-09-30,1148486
2004-10-31,1158428
2004-11-30,1166772
2004-12-31,1179213
2005-01-31,1177489
2005-02-28,1189134
2005-03-31,1216945
2005-04-30,1223676
2005-05-31,1242167
2005-06-30,1250565
2005-07-31,1256392
2005-08-31,1255471
2005-09-30,1277155
2005-10-31,1287977
2005-11-30,1308216
2005-12-31,1328317
2006-01-31,1319606
2006-02-28,1335626
2006-03-31,1365995
2006-04-30,1379719
2006-05-31,1386640
2006-06-30,1420491
2006-07-31,1418710
2006-08-31,1427335
2006-09-30,1460453
2006-10-31,1469444
2006-11-30,1479852
2006-12-31,1498963
2007-01-31,1491549
2007-02-28,1506575
2007-03-31,1543480
2007-04-30,1556855
2007-05-31,1577718
2007-06-30,1601033
2007-07-31,1603335
2007-08-31,1623888
2007-09-30,1647005
2007-10-31,1642477
2007-11-30,1648331
2007-12-31,1673926
2008-01-31,1681358
2008-02-29,1689258
2008-03-31,1718620
2008-04-30,1724656
2008-05-31,1736720
2008-06-30,1767575
2008-07-31,1765102
2008-08-31,1786116
2008-09-30,1822875
2008-10-31,1880561
2008-11-30,1908347
2008-12-31,1937239
2009-01-31,1969542
2009-02-28,1991491
2009-03-31,2010515
2009-04-30,1979833
2009-05-31,1982459
2009-06-30,1977414
2009-07-31,1986306
2009-08-31,1988244
2009-09-30,2009174
2009-10-31,2060138
2009-11-30,2056548
2009-12-31,2041859
2010-01-31,2209180
2010-02-28,2209391
2010-03-31,2219529
2010-04-30,2213342
2010-05-31,2200657
2010-06-30,2200167
2010-07-31,2200271
2010-08-31,2174254
2010-09-30,2183251
2010-10-31,2188059
2010-11-30,2177885
2010-12-31,2156043
2011-01-31,2149941
2011-02-28,2145090
2011-03-31,2162639
2011-04-30,2161721
2011-05-31,2161301
2011-06-30,2155527
2011-07-31,2152487
2011-08-31,2143297
2011-09-30,2134294
2011-10-31,2121141
2011-11-30,2109812
2011-12-31,2089867
2012-01-31,2093991
2012-02-29,2066020
2012-03-31,2069025
2012-04-30,2085113
2012-05-31,2088515
2012-06-30,2067815
2012-07-31,2065145
2012-08-31,2076931
2012-09-30,2080683
2012-10-31,2075054
2012-11-30,2076047
2012-12-31,2091546
2013-01-31,2091415
2013-02-28,2095999
2013-03-31,2093327
2013-04-30,2090918
2013-05-31,2094663
2013-06-30,2097189
2013-07-31,2108475
2013-08-31,2129499
2013-09-30,2140026
2013-10-31,2138190
2013-11-30,2148760
2013-12-31,2106288
2014-01-31,2121896
2014-02-28,2142757
2014-03-31,2107979
2014-04-30,2100981
2014-05-31,2099829
2014-06-30,2109203
2014-07-31,2107036
2014-08-31,2119536
2014-09-30,2106578
2014-10-31,2102321
2014-11-30,2107910
2014-12-31,2104992
2015-01-31,2081953
2015-02-28,2081936
2015-03-31,2103856
2015-04-30,2106761
2015-05-31,2120531
2015-06-30,2110303
2015-07-31,2125877
2015-08-31,2114829
2015-09-30,2095628
2015-10-31,2110847
2015-11-30,2120864
2015-12-31,2118648
2016-01-31,2107729
2016-02-29,2127319
2016-03-31,2131949
2016-04-30,2128788
2016-05-31,2152368
2016-06-30,2190002
2016-07-31,2211733
2016-08-31,2228608
2016-09-30,2228716
2016-10-31,2250349
2016-11-30,2260104
2016-12-31,2250850
2017-01-31,2251978
2017-02-28,2253881
2017-03-31,2288544
2017-04-30,2314769
2017-05-31,2308581
2017-06-30,2315892
2017-07-31,2310085
